PortID,ポート名,容量
1 ,つくば駅(中央公園),15
2 ,研究学園駅,15
3 ,つくば市役所,7
4 ,イーアスつくば,5
5 ,科学万博記念公園,5
6 ,学園南公園,5
7 ,ZOZOBASEつくば１,5
8 ,東光台東交差点（BLANDE研究学園店）,7
9 ,カスミフードスクエア学園の森店,5
10 ,ファミリーマート筑波記念病院前店,5
11 ,MeeToco 筑波ハム,5
12 ,ファミリーマートつくば葛城店,10
13 ,つくばスタートアップパーク（つくば市産業振興センター）,6
14 ,カスミ筑波大学店,5
15 ,ZOZOBASEつくば２,5
16 ,デイズタウン,5
17 ,カスミフードスクエア学園店,5
18 ,二の宮公園,5
19 ,松代ショッピングセンター,5
20 ,松代公園,5
21 ,つくばリードタウン,8
22 ,コーチャンフォーつくば,5
23 ,ZOZOBASEつくば３,5
24 ,つくば温泉喜楽里別邸,5
25 ,ホテルグランド東雲,5
26 ,JAXA：筑波宇宙センター,5
27 ,赤塚富士住建パーク,5
28 ,洞峰公園,5
29 ,やなぎ公園,5
30 ,なみき児童公園,5
31 ,小野崎児童公園,5
32 ,さくら運動公園,5
33 ,松見公園,5
34 ,天久保公園,5
35 ,かきの木公園,5
36 ,こもれび公園,5
37 ,学園広場公園,5
38 ,梅園公園,5
39 ,上宿児童公園,5
40 ,ウエルシアつくば春日３丁目店,5
41 ,ウエルシアつくば松代店,5
42 ,並木ショッピングセンター,5
43 ,竹園ショッピングセンター,5
